"cond" "Scond" "sub" "item" "lag" "resp"
0 1 78 4 -239.271804139237 5
0 0 94 4 0 1
0 1 37 4 309.728195860763 4
0 0 47 4 0 3
0 0 18 4 0 2
0 1 69 4 52.7281958607633 4
0 1 44 4 -68.2718041392367 4
0 1 13 4 -156.271804139237 5
0 1 83 4 -109.271804139237 5
0 1 16 4 -234.271804139237 5
0 0 38 4 0 0
0 0 72 4 0 0
0 1 9 4 -244.271804139237 5
0 1 0 4 232.728195860763 5
0 0 21 4 0 0
0 0 50 4 0 0
0 0 48 4 0 0
0 0 75 4 0 0
0 1 71 4 -93.2718041392367 4
0 1 62 4 -214.271804139237 5
0 1 11 4 -233.271804139237 5
0 0 8 4 0 1
0 1 15 4 95.7281958607633 4
0 0 53 4 0 2
0 0 74 4 0 5
0 1 49 4 -92.2718041392367 5
0 0 88 4 0 0
0 1 31 4 -134.271804139237 5
0 0 93 4 0 0
0 0 54 4 0 2
0 0 68 4 0 0
0 0 3 4 0 0
0 1 45 4 -135.271804139237 5
0 0 39 4 0 0
0 1 67 4 334.728195860763 5
0 0 23 4 0 0
0 0 33 4 0 0
0 1 41 4 128.728195860763 5
0 1 92 4 -96.2718041392367 5
0 1 63 4 -285.271804139237 4
0 1 1 4 -41.2718041392367 5
0 0 40 5 0 0
0 0 59 5 0 0
0 0 36 5 0 2
0 0 86 5 0 1
0 1 3 5 -117.271804139237 0
0 0 90 5 0 1
0 1 2 5 -128.271804139237 4
0 1 94 5 94.7281958607633 1
0 0 51 5 0 2
0 0 18 5 0 1
0 0 85 5 0 0
0 1 66 5 154.728195860763 1
0 1 55 5 149.728195860763 3
0 0 39 5 0 0
0 1 12 5 28.7281958607633 5
0 0 41 5 0 1
0 1 71 5 -234.271804139237 3
0 1 74 5 -205.271804139237 4
0 0 92 5 0 1
0 0 47 5 0 5
0 1 82 5 129.728195860763 1
0 0 81 5 0 0
0 1 20 5 305.728195860763 5
0 1 54 5 241.728195860763 5
0 0 53 5 0 2
0 1 69 5 160.728195860763 5
0 1 29 5 185.728195860763 4
0 1 45 5 191.728195860763 1
0 0 31 5 0 5
0 0 49 5 0 0
0 1 34 5 -38.2718041392367 3
0 1 1 5 -128.271804139237 5
0 1 65 5 -10.2718041392367 4
0 0 75 5 0 0
0 1 46 5 184.728195860763 5
0 0 42 5 0 1
0 1 27 5 159.728195860763 3
0 0 16 5 0 4
0 1 4 5 -117.271804139237 5
0 0 17 5 0 1
0 0 23 5 0 3
0 1 50 5 90.7281958607633 5
0 0 5 5 0 5
0 1 89 5 26.7281958607633 5
0 1 84 5 233.728195860763 4
0 0 78 5 0 0
0 1 8 5 128.728195860763 5
0 0 63 5 0 3
0 0 77 5 0 1
0 0 67 5 0 4
0 1 43 5 -198.271804139237 5
0 0 22 5 0 0
0 0 38 5 0 0
0 1 72 5 -285.271804139237 5
0 0 87 5 0 1
0 0 7 5 0 1
0 0 58 5 0 0
0 0 28 5 0 0
0 1 80 5 -56.2718041392367 5
0 1 64 5 -101.271804139237 3
0 1 13 5 -43.2718041392367 5
0 1 68 5 -79.2718041392367 5
0 0 15 5 0 1
0 0 73 5 0 0
0 1 24 5 144.728195860763 0
0 0 76 5 0 5
0 0 11 5 0 1
